title,platform,views,likes,publish_date,content_type,account,category,success_factors
"ChatGPT最强使用技巧，看完你就是高手",小红书,580000,45000,2024-06-15,图文,AI工具分享家,工具教程,"标题吸引力强,内容实用,配图清晰"
"1分钟学会AI绘画，小白也能画出大片",抖音,1200000,98000,2024-06-20,视频,AI绘画师,AI绘画,"节奏快,效果震撼,操作简单"
"靠AI写作月入过万的秘密",小红书,320000,28000,2024-07-01,图文,AI写作教练,变现案例,"真实案例,数据详实,方法可复制"
"Midjourney最新功能，效果太炸裂了",抖音,890000,67000,2024-07-05,视频,AI探索者,工具评测,"紧跟热点,视觉冲击力强"
"普通人如何用AI做副业？实测有效",小红书,450000,38000,2024-07-10,图文,AI副业导师,副业变现,"痛点精准,案例丰富,路径清晰"
"AI一键生成PPT，打工人必备神器",抖音,2100000,156000,2024-07-15,视频,职场AI助手,效率工具,"场景贴切,需求刚性,演示直观"
"小红书AI写作模板，轻松出爆款",小红书,680000,52000,2024-07-20,图文,内容创作专家,创作技巧,"模板实用,案例对比,立即可用"
"AI换脸技术，明星同款一键get",抖音,3500000,298000,2024-07-25,视频,AI玩家,娱乐应用,"娱乐性强,操作简单,效果惊艳"
"用AI做自媒体，一个月涨粉10万",小红书,920000,78000,2024-08-01,图文,自媒体教练,运营方法,"数据真实,方法系统,激励性强"
"最新AI工具合集，建议收藏",小红书,1100000,95000,2024-08-05,图文,AI工具库,工具合集,"信息量大,分类清晰,实用性强"
